rpm,mode,stroke(1:2stroke/2:4stroke),encoder,cylinder,count,Pcomp,TDC Marker Offset,Firing Tolerance,CylinderDiameter,CombustionChamberStroke,ConnectingRodLength,InitialPressure,InitialTemperature,EngineRpm,CrankRadius,CompressionRatio,SpecificGravity,IndexLowCalorificPower,,,,
9323,1,1,360,6,360,0,0,0,42,136,163.8,0,27.8,93.23,68,12.71,0.87,0,,,,
angle,rawdata,pressure,v,p,dp,dv,hrr,tk,dqw,dqt,k,pmi,w,pt(ns),ROHR[Kcal/cycle],SFC[g/HP.H],,,,,,Pmi (bar)
156,92.627,18.222,27470.539,18.023,0.957,-922.425,0.292,1020.211,1.136,1.428,1.332,0,0,145624,,,,,204,35.449,17.426,
157,93.272,18.867,26565.293,18.996,0.99,-887.983,0.272,1039.824,1.21,1.483,1.331,0,0,146980,,,,,203,37.318,18.322,
158,94.072,19.667,25694.738,20.006,1.032,-853.046,0.272,1059.212,1.287,1.559,1.329,0,0,145944,,,,,202,39.249,19.243,
159,95.125,20.72,24859.361,21.063,1.085,-817.632,0.293,1078.951,1.367,1.66,1.328,0,0,146978,,,,,201,41.23,20.167,
160,96.655,22.25,24059.627,22.178,1.147,-781.761,0.329,1099.532,1.453,1.782,1.327,0,0,146046,,,,,200,43.251,21.073,
161,97.777,23.372,23295.985,23.359,1.216,-745.451,0.378,1121.318,1.546,1.924,1.325,0,0,147704,,,,,199,45.297,21.938,
162,98.608,24.203,22568.864,24.612,1.289,-708.722,0.433,1144.556,1.647,2.081,1.324,0,0,146472,,,,,198,47.339,22.727,
163,99.722,25.317,21878.674,25.935,1.356,-671.594,0.482,1169.223,1.757,2.239,1.323,0,0,147926,,,,,197,49.333,23.398,
164,101.767,27.362,21225.802,27.319,1.407,-634.087,0.509,1194.852,1.874,2.383,1.321,0,0,147018,,,,,196,51.23,23.911,
165,103.428,29.023,20610.619,28.742,1.434,-596.222,0.509,1220.65,1.994,2.504,1.32,0,0,148062,,,,,195,52.987,24.245,
166,104.573,30.168,20033.472,30.182,1.443,-558.019,0.494,1245.917,2.116,2.611,1.318,0,0,147528,,,,,194,54.571,24.389,
167,106.049,31.644,19494.687,31.625,1.443,-519.499,0.48,1270.385,2.239,2.718,1.317,0,0,148550,,,,,193,55.946,24.321,
168,107.279,32.874,18994.572,33.065,1.436,-480.685,0.472,1294.144,2.361,2.833,1.316,0,0,147946,,,,,192,57.051,23.986,
169,108.94,34.535,18533.409,34.492,1.416,-441.597,0.464,1317.246,2.482,2.946,1.315,0,0,149464,,,,,191,57.778,23.286,
